ID,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02,Sweetwater River,32.89928,-116.5849,1168,14.3,23.6,8.1,15.5,443,33,54.9,722.1,33,3448,1853,492,316,91,332,240,4,-14.1,43,1339,978,-9999,56
S07,West Fork Mojave River,34.28425,-117.375389,1092,14.8,24,8.3,15.7,449,45,55.2,529.4,29,3615,1740,547,330,69,342,273,2,-12.8,41.8,1258,895,-9999,60
S08,Redwood Creek,36.69096,-118.909607,1682,10.5,20.7,3.6,17.1,846,25,24.2,836.6,118,2323,2961,220,247,124,304,180,44,-23.2,38.3,1040,699,-9999,59
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,13.3,23.5,6.1,17.4,718,22,32.5,1075.9,56,3157,2183,473,308,87,328,241,9,-16,40.6,1128,771,-9999,63
S11,Mill Creek,34.07808,-116.87558,1990,9,18.4,2.3,16.1,605,91,31.4,202.3,161,1927,3360,106,213,153,293,140,57,-26.8,36.6,1077,623,-9999,55
S15,Rock Creek,43.37876,-122.952072,1168,10.4,19.5,3.8,15.7,3417,318,6,61.2,99,2228,2936,180,290,116,316,200,142,-16.4,38.2,847,357,-9999,67
S16,O'Neil Creek,41.80979,-123.118874,1092,11.4,22,3.6,18.4,1284,80,16.7,275.5,102,2621,2736,352,277,123,313,191,47,-17.9,40.2,997,619,-9999,62
S17,Deep Creek,41.66546,-123.113411,680,12.7,24,3.3,20.8,212,55,107,437.7,95,3065,2460,558,278,117,311,194,5,-19.3,42.8,1144,982,-9999,57
S18,Little Jameson Creek,39.74298,-120.70401,1593,9.2,19.3,1.4,18,1419,45,13.5,431.1,187,2051,3354,156,214,150,284,134,118,-26.3,38.5,1045,705,-9999,54
S29,Oregon Creek,39.39442,-121.083023,440,16.1,25.9,8.1,17.7,1566,27,16.6,949.7,27,4084,1552,820,327,67,336,269,5,-13.8,44.5,1321,905,-9999,55
S32,Wawona,37.539,-119.653999,1214,12.9,22.9,6.1,16.8,1025,13,22.3,1821.7,58,3017,2269,412,275,115,310,195,14,-20.1,41.2,1213,855,-9999,54
S36,Deer Creek,42.27411,-123.636169,393,12.1,21.5,4.1,17.4,2074,114,10.7,188.6,76,2784,2469,342,280,118,293,175,43,-17.4,42.8,1140,683,-9999,54
