ID,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02,Sweetwater River,32.89928,-116.5849,1168,13.5,22.2,6.7,15.5,575,55,40.8,406.5,41,3167,2074,403,301,109,321,212,5,-14.1,43,1310,896,-9999,55
S07,West Fork Mojave River,34.28425,-117.375389,1092,13.8,22.5,6.9,15.7,479,55,49.7,412.3,38,3287,1988,447,315,91,333,242,4,-12.8,41.8,1220,852,-9999,60
S08,Redwood Creek,36.69096,-118.909607,1682,9.3,19.1,2.1,17,752,67,25.6,284.3,165,2035,3336,169,227,148,299,151,92,-23.2,38.3,979,624,-9999,59
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,12.1,22,4.5,17.5,656,52,33.7,421.4,81,2798,2540,387,288,112,319,207,21,-16,40.6,1065,739,-9999,63
S11,Mill Creek,34.07808,-116.87558,1990,8,17.4,0.9,16.5,618,79,29.2,219.1,207,1701,3688,78,192,175,283,108,87,-26.8,36.6,1043,650,-9999,54
S15,Rock Creek,43.37876,-122.952072,1168,9.7,19.1,3.1,15.9,2377,357,8.3,53.5,124,2057,3191,170,271,133,318,185,154,-16.4,38.2,801,336,-9999,68
S16,O'Neil Creek,41.80979,-123.118874,1092,10.7,21.6,2.8,18.8,833,101,24.8,214.6,124,2422,2981,336,260,140,313,174,47,-17.9,40.2,944,565,-9999,63
S17,Deep Creek,41.66546,-123.113411,680,12,23.6,2.5,21.1,144,61,153.1,388.8,115,2857,2707,527,262,134,311,177,4,-19.3,42.8,1089,931,-9999,57
S18,Little Jameson Creek,39.74298,-120.70401,1593,8.2,18.4,0.4,18,1057,152,17.2,120.6,241,1828,3698,131,196,168,287,119,229,-26.3,38.5,942,548,-9999,54
S29,Oregon Creek,39.39442,-121.083023,440,15,25,7.3,17.8,1087,109,23,229.1,36,3735,1830,737,312,87,329,242,8,-13.8,44.5,1240,774,-9999,56
S32,Wawona,37.539,-119.653999,1214,11.8,21.5,4.9,16.5,862,78,25.3,275.8,82,2676,2622,352,255,138,306,168,32,-20.1,41.2,1140,744,-9999,54
S36,Deer Creek,42.27411,-123.636169,393,11.5,21.2,3.2,18,1364,144,15.7,147.6,94,2602,2695,327,264,134,298,164,40,-17.4,42.8,1096,627,-9999,54
