ID,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02,Sweetwater River,32.89928,-116.5849,1168,14.2,22.7,6.4,16.4,381,61,63.4,373.1,38,3418,1884,466,309,90,319,229,4,-14.1,43,1332,984,-9999,55
S07,West Fork Mojave River,34.28425,-117.375389,1092,14.7,23.8,6.7,17,276,41,89.6,578.3,34,3603,1761,539,322,73,329,256,3,-12.8,41.8,1257,983,-9999,59
S08,Redwood Creek,36.69096,-118.909607,1682,10.4,21,2.1,18.9,303,28,67.4,747.5,136,2357,2979,234,240,120,293,173,32,-23.2,38.3,1045,793,-9999,57
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,13.3,23.8,4.4,19.4,276,22,84.4,1083,66,3173,2221,487,296,91,312,220,9,-16,40.6,1132,885,-9999,61
S11,Mill Creek,34.07808,-116.87558,1990,8.9,18.5,0.7,17.8,407,78,46.4,238,179,1913,3412,103,210,148,281,134,46,-26.8,36.6,1075,762,-9999,54
S15,Rock Creek,43.37876,-122.952072,1168,10.2,20.2,1.4,18.8,1350,482,15,41.8,134,2281,3038,228,270,117,311,194,71,-16.4,38.2,864,338,-9999,66
S16,O'Neil Creek,41.80979,-123.118874,1092,11.3,23,1.2,21.7,385,117,55.2,195.4,140,2656,2846,406,257,120,305,185,32,-17.9,40.2,1013,691,-9999,60
S17,Deep Creek,41.66546,-123.113411,680,12.5,25.2,0.9,24.3,89,54,252.4,469.1,138,3109,2592,625,258,114,302,188,5,-19.3,42.8,1161,1055,-9999,55
S18,Little Jameson Creek,39.74298,-120.70401,1593,8.9,20.2,-1.3,21.5,486,118,38.8,170.8,256,2058,3490,174,201,141,284,143,105,-26.3,38.5,1018,687,-9999,52
S29,Oregon Creek,39.39442,-121.083023,440,15.9,26.8,5.8,21,456,75,56.7,356,39,4049,1647,852,306,82,317,235,6,-13.8,44.5,1324,947,-9999,53
S32,Wawona,37.539,-119.653999,1214,12.9,23.4,4.2,19.2,305,31,74.8,757.1,71,3037,2318,438,261,112,298,185,12,-20.1,41.2,1220,923,-9999,52
S36,Deer Creek,42.27411,-123.636169,393,12,22.6,1.5,21.1,621,172,35.4,131.6,112,2848,2580,416,258,115,295,180,37,-17.4,42.8,1164,721,-9999,52
