ID,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
S02,Sweetwater River,32.89928,-116.5849,1168,15.3,24,7.6,16.3,386,113,65.6,212,23,3809,1614,614,328,86,341,256,2,-14.1,43,1387,1005,-9999,55
S07,West Fork Mojave River,34.28425,-117.375389,1092,15.8,24.1,7.7,16.4,372,108,69.4,223.3,22,3970,1513,670,339,63,349,287,1,-12.8,41.8,1302,949,-9999,60
S08,Redwood Creek,36.69096,-118.909607,1682,11.3,20.3,2.6,17.7,705,86,30.2,236.2,91,2544,2704,273,258,130,307,177,15,-23.2,38.3,1065,667,-9999,59
S10,North Fork Middle Fork Tule,36.20081,-118.650917,1288,14.1,23.2,5.1,18.1,591,76,40.8,304.7,44,3424,1989,559,318,87,332,244,4,-16,40.6,1153,761,-9999,63
S11,Mill Creek,34.07808,-116.87558,1990,10,18.7,1.8,16.8,543,179,36.8,104.1,120,2143,3074,147,224,166,299,132,26,-26.8,36.6,1120,637,-9999,55
S15,Rock Creek,43.37876,-122.952072,1168,11.9,21,5.7,15.3,2442,148,9,142.5,62,2684,2487,300,305,107,323,216,30,-16.4,38.2,933,492,-9999,65
S16,O'Neil Creek,41.80979,-123.118874,1092,12.9,23.4,4.9,18.4,860,37,26.6,626.9,64,3033,2338,494,294,115,319,205,10,-17.9,40.2,1062,776,-9999,61
S17,Deep Creek,41.66546,-123.113411,680,14.2,25.6,4.5,21.1,129,24,187.6,1048.1,61,3495,2106,733,294,110,316,207,1,-19.3,42.8,1211,1110,-9999,56
S18,Little Jameson Creek,39.74298,-120.70401,1593,10.3,19.6,1.4,18.3,1015,91,20,215.7,135,2304,3012,211,228,148,289,141,38,-26.3,38.5,1074,674,-9999,54
S29,Oregon Creek,39.39442,-121.083023,440,17.2,26.4,8.1,18.3,939,52,28.9,504.6,19,4471,1326,993,337,61,340,279,2,-13.8,44.5,1349,928,-9999,55
S32,Wawona,37.539,-119.653999,1214,13.8,22.7,5.5,17.2,755,67,31.5,340.4,44,3290,2052,492,286,118,314,196,4,-20.1,41.2,1236,859,-9999,54
S36,Deer Creek,42.27411,-123.636169,393,13.7,23.5,5.6,17.9,1428,47,16.6,498.4,49,3292,2065,523,299,108,301,193,12,-17.4,42.8,1225,871,-9999,53
